Date,Close
2005/1/4,97.64
2005/1/5,95.66
2005/1/6,97.01
2005/1/7,96.85
2005/1/10,95.89
2005/1/11,96.88
2005/1/12,97.89
2005/1/13,97.42
2005/1/14,91.63
2005/1/17,98.5
2005/1/18,97.99
2005/1/19,98.84
2005/1/20,98.69
2005/1/21,99.87
2005/1/24,101.47
2005/1/25,101.15
2005/1/26,99.28
2005/1/27,100.85
2005/1/28,100.72
2005/1/31,100.22
2005/2/1,100.4
2005/2/2,100.02
2005/2/3,98.21
2005/2/4,99.16
2005/2/16,101.09
2005/2/17,101.62
2005/2/18,103.27
2005/2/21,102.91
2005/2/22,103.77
2005/2/23,102.75
2005/2/24,104.03
2005/2/25,102.55
2005/2/28,104.41
2005/3/1,103.84
2005/3/2,103.31
2005/3/3,103.51
2005/3/4,103.18
2005/3/7,103.87
2005/3/8,104.21
2005/3/9,105.35
2005/3/10,105.43
2005/3/11,104.87
2005/3/14,105.05
2005/3/15,105.18
2005/3/16,107.2
2005/3/17,107.38
2005/3/18,106.03
2005/3/21,107.1
2005/3/22,106.82
2005/3/23,106.06
2005/3/24,105.55
2005/3/25,106.68
2005/3/28,106.56
2005/3/29,106.77
2005/3/30,106.19
2005/3/31,106.93
2005/4/1,107.32
2005/4/4,106.77
2005/4/5,106.98
2005/4/6,108.25
2005/4/7,109.54
2005/4/8,109.28
2005/4/11,111.41
2005/4/12,111.48
2005/4/13,110.69
2005/4/14,106.39
2005/4/15,107.91
2005/4/18,108.02
2005/4/19,109.34
2005/4/20,110.92
2005/4/21,110
2005/4/22,111.32
2005/4/25,110.01
2005/4/26,111.13
2005/4/27,108.68
2005/4/28,108.63
2005/4/29,109.18
2005/5/9,110.15
2005/5/10,110.78
2005/5/11,109.74
2005/5/12,108.25
2005/5/13,104.73
2005/5/16,105.23
2005/5/17,102.78
2005/5/18,103.41
2005/5/19,103.49
2005/5/20,103.41
2005/5/23,102.35
2005/5/24,103.58
2005/5/25,103.31
2005/5/26,103.09
2005/5/27,103.62
2005/5/30,103.15
2005/5/31,101.77
2005/6/1,102.34
2005/6/2,104.84
2005/6/3,106.11
2005/6/6,109.89
2005/6/7,109.21
2005/6/8,107.41
2005/6/9,107.53
2005/6/10,109.11
2005/6/13,109.42
2005/6/14,108.24
