Date,Close
2005/1/4,98.71
2005/1/5,98.38
2005/1/6,99.03
2005/1/7,99.19
2005/1/10,98.89
2005/1/11,99.21
2005/1/12,99.86
2005/1/13,99.65
2005/1/14,95.83
2005/1/17,99.37
2005/1/18,98.92
2005/1/19,99.15
2005/1/20,98.95
2005/1/21,99.34
2005/1/24,99.94
2005/1/25,99.58
2005/1/26,99.08
2005/1/27,99.5
2005/1/28,99.19
2005/1/31,98.77
2005/2/1,99.04
2005/2/2,98.98
2005/2/3,98.77
2005/2/4,99.15
2005/2/16,100.58
2005/2/17,100.62
2005/2/18,101.31
2005/2/21,101.61
2005/2/22,102.93
2005/2/23,102.92
2005/2/24,104.2
2005/2/25,103.48
2005/2/28,105.83
2005/3/1,105.63
2005/3/2,106.62
2005/3/3,106.63
2005/3/4,106.31
2005/3/7,107.2
2005/3/8,106.62
2005/3/9,107.76
2005/3/10,108.32
2005/3/11,108.35
2005/3/14,110.04
2005/3/15,111.86
2005/3/16,114.65
2005/3/17,114.38
2005/3/18,111.88
2005/3/21,111.37
2005/3/22,110.43
2005/3/23,109.18
2005/3/24,109.99
2005/3/25,110.99
2005/3/28,110.78
2005/3/29,111.25
2005/3/30,110.79
2005/3/31,112.19
2005/4/1,111.32
2005/4/4,111.08
2005/4/5,110.99
2005/4/6,111.65
2005/4/7,112.65
2005/4/8,111.36
2005/4/11,111.18
2005/4/12,111.66
2005/4/13,110.22
2005/4/14,109.28
2005/4/15,109.43
2005/4/18,109.29
2005/4/19,110.48
2005/4/20,112.28
2005/4/21,110.26
2005/4/22,111.15
2005/4/25,111.19
2005/4/26,110.88
2005/4/27,110.28
2005/4/28,110.34
2005/4/29,110.18
2005/5/9,110.85
2005/5/10,110.9
2005/5/11,110.37
2005/5/12,109.96
2005/5/13,108.12
2005/5/16,108.49
2005/5/17,107.88
2005/5/18,108.67
2005/5/19,108.55
2005/5/20,108.64
2005/5/23,109.37
2005/5/24,109.21
2005/5/25,109.13
2005/5/26,110.51
2005/5/27,111.16
2005/5/30,111.17
2005/5/31,110.94
2005/6/1,110.54
2005/6/2,111.29
2005/6/3,111.41
2005/6/6,114.42
2005/6/7,113.6
2005/6/8,112.78
2005/6/9,112.49
2005/6/10,113.49
2005/6/13,113.34
2005/6/14,112.92
2005/6/15,113.44
2005/6/16,113.82
2005/6/17,114.39
2005/6/20,116.42
2005/6/21,115.65
2005/6/22,116.13
2005/6/23,114.79
2005/6/24,115.74
2005/6/27,115.48
2005/6/28,113.64
2005/6/29,113.29
2005/6/30,112.92
2005/7/1,113.6
2005/7/4,114.24
2005/7/5,114.4
2005/7/6,115.14
2005/7/7,115.98
2005/7/8,116.36
2005/7/11,116.24
2005/7/12,117.07
2005/7/13,115.86
2005/7/14,116.54
2005/7/15,116.64
2005/7/18,116.6
2005/7/19,116.55
2005/7/20,115.42
2005/7/21,115.72
2005/7/22,115.2
2005/7/25,116.32
2005/7/26,116.8
2005/7/27,116.24
2005/7/28,116.86
2005/7/29,116.28
2005/8/1,115.28
2005/8/2,115.42
2005/8/3,115.55
2005/8/4,114.48
2005/8/5,114.69
2005/8/8,114.21
2005/8/9,113.93
2005/8/10,112.64
2005/8/11,113.7
2005/8/12,113.17
2005/8/15,113.06
2005/8/16,112.99
2005/8/17,112.4
2005/8/18,112.41
2005/8/19,112
2005/8/22,113.05
2005/8/23,113.77
2005/8/24,113.66
2005/8/25,113.49
2005/8/26,112.64
2005/8/29,113.88
2005/8/30,113.67
2005/8/31,115.06
2005/9/1,114.6
2005/9/2,115.63
2005/9/5,116.44
2005/9/6,116.43
2005/9/7,115.99
2005/9/8,116.51
2005/9/9,116.11
2005/9/12,114.96
2005/9/13,114.6
2005/9/14,114.73
2005/9/15,114.81
2005/9/16,114.15
2005/9/19,113.97
2005/9/20,114.86
2005/9/21,115.34
2005/9/22,116.46
2005/9/23,116.31
2005/9/26,115.96
2005/9/27,116.31
2005/9/28,116.76
2005/9/29,117.45
2005/9/30,117.02
2005/10/10,119.39
2005/10/11,119.6
2005/10/12,120.33
2005/10/13,120.99
2005/10/14,120.4
2005/10/17,121.39
2005/10/18,121.45
2005/10/19,120.22
2005/10/20,120.41
2005/10/21,118.05
2005/10/24,118.62
2005/10/25,118.16
2005/10/26,118.48
2005/10/27,118.05
2005/10/28,118.2
2005/10/31,117.66
2005/11/1,118.47
2005/11/2,118.5
2005/11/3,118.59
2005/11/4,118.55
2005/11/7,117.4
2005/11/8,117.31
2005/11/9,116.76
2005/11/10,116.91
2005/11/11,117.38
2005/11/14,117.67
2005/11/15,117.28
2005/11/16,117.2
2005/11/17,116.84
2005/11/18,115.88
2005/11/21,116.12
2005/11/22,116.65
2005/11/23,115.31
2005/11/24,115.51
2005/11/25,115.89
2005/11/28,113.72
2005/11/29,113.74
2005/11/30,114.76
2005/12/1,114.72
2005/12/2,116.15
2005/12/5,117.01
2005/12/6,117.49
2005/12/7,117.85
2005/12/8,117.97
2005/12/9,119.33
2005/12/12,121.45
2005/12/13,120.18
2005/12/14,120.95
2005/12/15,120.18
2005/12/16,120.6
2005/12/19,121.35
2005/12/20,121.42
2005/12/21,121.18
2005/12/22,122.46
2005/12/23,122.82
2005/12/26,124.16
2005/12/27,124.05
2005/12/28,124.23
2005/12/29,123.7
2005/12/30,123.49
2006/1/4,126.21
2006/1/5,126.34
2006/1/6,126.71
2006/1/9,126.32
2006/1/10,126.55
2006/1/11,126.08
2006/1/12,125.84
2006/1/13,125.67
2006/1/16,127.06
2006/1/17,126.47
2006/1/18,124.78
2006/1/19,125.98
2006/1/20,125.95
2006/1/23,126.73
2006/1/24,126.73
2006/1/25,127.84
2006/2/6,133.67
2006/2/7,135.33
2006/2/8,130.76
2006/2/9,132.59
2006/2/10,132.13
2006/2/13,130.73
2006/2/14,130.49
2006/2/15,130.89
2006/2/16,129.21
2006/2/17,129.47
2006/2/20,129.79
2006/2/21,130.05
2006/2/22,129.9
2006/2/23,128.28
2006/2/24,129.21
2006/2/27,127.54
2006/2/28,127.36
2006/3/1,127.38
2006/3/2,128.53
2006/3/3,129.63
2006/3/6,129.01
2006/3/7,128.63
2006/3/8,127.79
2006/3/9,128.25
2006/3/10,127.02
2006/3/13,127.58
2006/3/14,127.27
2006/3/15,127.51
2006/3/16,126.91
2006/3/17,126.97
2006/3/20,128.56
2006/3/21,127.97
2006/3/22,127.97
2006/3/23,128.27
2006/3/24,128.74
2006/3/27,129.31
2006/3/28,129.13
2006/3/29,128.82
2006/3/30,129.18
2006/3/31,130.1
2006/4/3,129.05
2006/4/4,129.82
2006/4/5,129.53
2006/4/6,130.63
2006/4/7,130.72
2006/4/10,130.92
2006/4/11,131.78
2006/4/12,131.76
2006/4/13,131.7
2006/4/14,132.92
2006/4/17,135.17
2006/4/18,134.87
2006/4/19,136.51
2006/4/20,136.15
2006/4/21,133.87
2006/4/24,136.79
2006/4/25,137.4
2006/4/26,138.95
2006/4/27,140.93
2006/4/28,140.21
2006/5/8,142.36
2006/5/9,145.48
2006/5/10,147.91
2006/5/11,151.13
2006/5/12,152.79
2006/5/15,154.91
2006/5/16,150.12
2006/5/17,152.04
2006/5/18,149.39
2006/5/19,148.3
2006/5/22,145.57
2006/5/23,145.07
2006/5/24,147.87
2006/5/25,147.01
2006/5/26,148.3
2006/5/29,150.38
2006/5/30,150.32
2006/5/31,147.5
2006/6/1,143.86
2006/6/2,144.65
2006/6/5,147.36
2006/6/6,145.33
2006/6/7,143.84
2006/6/8,143.96
2006/6/9,142.18
2006/6/12,140.52
2006/6/13,137.17
2006/6/14,134.55
2006/6/15,135.47
2006/6/16,136.51
2006/6/19,134.41
2006/6/20,134.7
2006/6/21,135.24
2006/6/22,136.98
2006/6/23,134.7
2006/6/26,134.3
2006/6/27,135.92
2006/6/28,134.39
2006/6/29,134.52
2006/6/30,137.29
2006/7/3,139.79
2006/7/4,139.48
2006/7/5,139.76
2006/7/6,138.9
2006/7/7,141.3
2006/7/10,140.64
2006/7/11,142.1
2006/7/12,143.05
2006/7/13,141.25
2006/7/14,140.74
2006/7/17,141.35
2006/7/18,138.83
2006/7/19,136.45
2006/7/20,136.82
2006/7/21,134.87
2006/7/24,134.23
2006/7/25,135.32
2006/7/26,134
2006/7/27,134.53
2006/7/28,134.91
2006/7/31,137.52
2006/8/1,137.33
2006/8/2,137.13
2006/8/3,138.67
2006/8/4,137.45
2006/8/7,137.76
2006/8/8,136.7
2006/8/9,136.22
2006/8/10,138.28
2006/8/11,137.85
2006/8/14,135.66
2006/8/15,135.44
2006/8/16,135.5
2006/8/17,135.96
2006/8/18,135.69
2006/8/21,135.46
2006/8/22,136.17
2006/8/23,136.02
2006/8/24,136.05
2006/8/25,135.68
2006/8/28,135.56
2006/8/29,135.1
2006/8/30,134.16
2006/8/31,134.48
2006/9/1,136.66
2006/9/4,136.68
