Date,Close
2005/1/4,99.75
2005/1/5,100.03
2005/1/6,100.3
2005/1/7,99.6
2005/1/10,99.68
2005/1/11,99.29
2005/1/12,101.08
2005/1/13,100.73
2005/1/14,100.71
2005/1/17,99.36
2005/1/18,99.54
2005/1/19,99.79
2005/1/20,100.05
2005/1/21,100.86
2005/1/24,100.67
2005/1/25,100.72
2005/1/26,100.24
2005/1/27,100.74
2005/1/28,101.26
2005/1/31,101.43
2005/2/1,101.58
2005/2/2,102.88
2005/2/3,103.71
2005/2/4,104.38
2005/2/16,105.75
2005/2/17,104.93
2005/2/18,104.68
2005/2/21,104.68
2005/2/22,106.52
2005/2/23,106.34
2005/2/24,107.96
2005/2/25,108.48
2005/2/28,108.95
2005/3/1,108.25
2005/3/2,109.1
2005/3/3,108.22
2005/3/4,107.8
2005/3/7,107.4
2005/3/8,107.59
2005/3/9,108.71
2005/3/10,108.63
2005/3/11,107.65
2005/3/14,108.96
2005/3/15,112
2005/3/16,115.88
2005/3/17,116.89
2005/3/18,114.24
2005/3/21,109.31
2005/3/22,108.37
2005/3/23,107.24
2005/3/24,108.37
2005/3/25,108.25
2005/3/28,107.67
2005/3/29,110.55
2005/3/30,112.16
2005/3/31,110.48
2005/4/1,110.77
2005/4/4,111.35
2005/4/5,111.69
2005/4/6,111.27
2005/4/7,111.97
2005/4/8,108.6
2005/4/11,108.13
2005/4/12,107.67
2005/4/13,105.31
2005/4/14,105.57
2005/4/15,105.36
2005/4/18,106.06
2005/4/19,107.24
2005/4/20,107.63
2005/4/21,105.1
2005/4/22,105.39
2005/4/25,105.44
2005/4/26,104.02
2005/4/27,104.5
2005/4/28,104.98
2005/4/29,104.47
2005/5/9,106.29
2005/5/10,105.82
2005/5/11,105.42
2005/5/12,105.69
2005/5/13,106.25
2005/5/16,107.03
2005/5/17,107.47
2005/5/18,109.03
2005/5/19,108.19
2005/5/20,108.4
2005/5/23,109.9
2005/5/24,109.63
2005/5/25,109.01
2005/5/26,111.31
2005/5/27,112.08
2005/5/30,112.32
2005/5/31,112.35
2005/6/1,113.03
2005/6/2,113.76
2005/6/3,114.33
2005/6/6,117.3
2005/6/7,117.31
2005/6/8,116.71
2005/6/9,115.14
2005/6/10,117.48
2005/6/13,116.37
2005/6/14,116.08
2005/6/15,115.51
2005/6/16,114.8
2005/6/17,115.77
2005/6/20,116.96
2005/6/21,116.68
2005/6/22,118.15
2005/6/23,118.26
2005/6/24,119.2
2005/6/27,119.44
2005/6/28,119.66
2005/6/29,120.42
2005/6/30,120.31
2005/7/1,122.62
2005/7/4,125.16
2005/7/5,125.25
2005/7/6,126.88
2005/7/7,130.16
2005/7/8,132.41
2005/7/11,131.78
2005/7/12,134.24
2005/7/13,130.9
2005/7/14,133
2005/7/15,133.53
2005/7/18,134.65
2005/7/19,135.65
2005/7/20,134.96
2005/7/21,135.47
2005/7/22,137.86
2005/7/25,140.43
2005/7/26,141.91
2005/7/27,139.92
2005/7/28,142.21
2005/7/29,139.22
2005/8/1,138.36
2005/8/2,135.22
2005/8/3,136.74
2005/8/4,134
2005/8/5,135.79
2005/8/8,135.24
2005/8/9,133.34
2005/8/10,131.69
2005/8/11,133.68
2005/8/12,131.33
2005/8/15,130.82
2005/8/16,132.16
2005/8/17,131.21
2005/8/18,131.59
2005/8/19,130.22
2005/8/22,131.49
2005/8/23,132.14
2005/8/24,133.23
2005/8/25,133.28
2005/8/26,132.11
2005/8/29,133.59
2005/8/30,133.45
2005/8/31,136.64
2005/9/1,137.03
2005/9/2,137.73
2005/9/5,141.06
2005/9/6,141.17
2005/9/7,140.55
2005/9/8,142.7
2005/9/9,142.26
2005/9/12,139.07
2005/9/13,136.77
2005/9/14,137.85
2005/9/15,139.02
2005/9/16,137.43
2005/9/19,136.29
2005/9/20,138.45
2005/9/21,139.8
2005/9/22,142.33
2005/9/23,141.38
2005/9/26,141.66
2005/9/27,143.23
2005/9/28,145.07
2005/9/29,147.3
2005/9/30,145.75
2005/10/10,150.75
2005/10/11,150.54
2005/10/12,151.32
2005/10/13,151.68
2005/10/14,150.18
2005/10/17,152.55
2005/10/18,151.96
2005/10/19,148.52
2005/10/20,149.19
2005/10/21,145.69
2005/10/24,146.29
2005/10/25,146.8
2005/10/26,146.35
2005/10/27,144.67
2005/10/28,146.49
2005/10/31,145.42
2005/11/1,146.78
2005/11/2,146.82
2005/11/3,146.37
2005/11/4,145.41
2005/11/7,142.12
2005/11/8,141.26
2005/11/9,140.61
2005/11/10,140.91
2005/11/11,141.68
2005/11/14,141.94
2005/11/15,141.1
2005/11/16,141.25
2005/11/17,141.57
2005/11/18,139.5
2005/11/21,141.12
2005/11/22,143.63
2005/11/23,142.97
2005/11/24,144.37
2005/11/25,144.54
2005/11/28,141.52
2005/11/29,140.79
2005/11/30,140.67
2005/12/1,140.4
2005/12/2,141.53
2005/12/5,143.92
